iter	RMSE
0	9.778696842
1	9.374528279
2	9.021228981
3	8.680287927
4	8.358569618
5	8.063706733
6	7.770552644
7	7.505063174
8	7.229177328
9	6.981938495
10	6.764834618
11	6.552211102
12	6.355522859
13	6.173016514
14	5.995464004
15	5.836561421
16	5.689249544
17	5.555458371
18	5.421856332
19	5.290126248
20	5.162774545
21	5.05739497
22	4.955275313
23	4.862874486
24	4.775048642
25	4.685936555
26	4.607143177
27	4.534792003
28	4.459117685
29	4.400011415
30	4.330834466
31	4.267364747
32	4.215777785
33	4.164273254
34	4.122932664
35	4.079153234
36	4.04166301
37	4.007217001
38	3.961697551
39	3.925320234
40	3.895905127
41	3.859432337
42	3.832520076
43	3.7991516
44	3.768659769
45	3.737541574
46	3.714843337
47	3.692734153
48	3.668785872
49	3.649650143
50	3.627086924
51	3.603563158
52	3.578120133
53	3.551599026
54	3.534368516
55	3.516364176
56	3.498917816
57	3.479517166
58	3.460873967
59	3.448017618
60	3.436273493
61	3.423416886
62	3.406808379
63	3.393003915
64	3.379257314
65	3.363336316
66	3.346647247
67	3.336570174
68	3.326554729
69	3.312740067
70	3.301456932
71	3.289003439
72	3.275752116
73	3.265936212
74	3.252750575
75	3.245473285
76	3.236261734
77	3.224953133
78	3.216214635
79	3.204569818
80	3.197247133
81	3.191528562
82	3.182868243
83	3.173929524
84	3.166188853
85	3.156823289
86	3.150532087
87	3.143484522
88	3.132791422
89	3.12513293
90	3.117755242
91	3.109095231
92	3.101677584
93	3.092722924
94	3.08667601
95	3.07954915
96	3.073662035
97	3.066492393
98	3.059528001
99	3.053214869
100	3.044176035
101	3.034808406
102	3.026819483
103	3.019912282
104	3.014263789
105	3.007685429
106	2.99826485
107	2.989574986
108	2.983523227
109	2.978517204
110	2.971966213
111	2.964088888
112	2.960261801
113	2.951786619
114	2.945217629
115	2.938770013
116	2.932891361
117	2.92538007
118	2.920267365
119	2.911680132
120	2.904740411
121	2.896484773
122	2.889601683
123	2.880451293
124	2.87391515
125	2.868590218
126	2.862619227
127	2.858116354
128	2.850676288
129	2.848885305
130	2.844569399
131	2.836883583
132	2.830501242
