iter	Passed	Remaining
0	49	46754
1	102	49065
2	150	47700
3	177	42141
4	208	39660
5	236	37435
6	263	35743
7	290	34343
8	321	33787
9	349	33034
10	383	32914
11	413	32497
12	440	31895
13	467	31451
14	493	30951
15	519	30505
16	546	30181
17	573	29844
18	600	29601
19	628	29377
20	653	29082
21	681	28897
22	709	28739
23	739	28696
24	766	28507
25	793	28347
26	819	28161
27	848	28093
28	876	27981
29	903	27846
30	930	27729
31	956	27602
32	983	27465
33	1018	27591
34	1048	27561
35	1076	27487
36	1103	27373
37	1130	27282
38	1158	27201
39	1183	27079
40	1210	26989
41	1239	26942
42	1265	26841
43	1293	26780
44	1321	26720
45	1350	26677
46	1381	26694
47	1408	26614
48	1436	26557
49	1462	26478
50	1490	26428
51	1518	26375
52	1544	26286
53	1572	26230
54	1599	26181
55	1626	26107
56	1653	26045
57	1678	25961
58	1708	25948
59	1736	25899
60	1762	25834
61	1789	25777
62	1817	25729
63	1842	25648
64	1869	25599
65	1900	25597
66	1930	25583
67	1957	25528
68	1984	25485
69	2010	25415
70	2038	25381
71	2067	25360
72	2095	25319
73	2121	25260
74	2149	25220
75	2174	25149
76	2201	25099
77	2228	25058
78	2254	25004
79	2283	24972
80	2310	24931
81	2335	24864
82	2364	24836
83	2394	24827
84	2420	24776
85	2448	24739
86	2475	24701
87	2501	24645
88	2528	24600
89	2555	24560
90	2581	24511
91	2611	24498
92	2638	24459
93	2664	24406
94	2694	24392
95	2722	24361
96	2748	24315
97	2778	24301
98	2806	24266
99	2831	24212
100	2859	24175
101	2887	24149
102	2914	24110
103	2941	24070
104	2966	24017
105	2997	24007
106	3024	23973
107	3053	23944
108	3093	24007
109	3129	24042
110	3170	24108
111	3206	24134
112	3241	24156
113	3277	24179
114	3305	24143
115	3351	24237
116	3379	24207
117	3409	24185
118	3436	24141
119	3461	24089
120	3488	24042
121	3516	24008
122	3541	23958
123	3568	23915
124	3593	23860
125	3620	23820
126	3648	23787
127	3676	23751
128	3706	23734
129	3734	23700
130	3759	23645
131	3786	23610
132	3814	23576
133	3840	23528
134	3867	23494
